min_salary,remote_allowed,formatted_experience_level,location,employee_count,industries,company
,,Internship,"Arlington, TX",2304.0,Veterinary Services,National Veterinary Associates
,,Mid-Senior level,"Grapevine, TX",7628.0,Hospitality,Aimbridge Hospitality
,,Entry level,"Lubbock, TX",7628.0,Hospitality,Aimbridge Hospitality
,,Mid-Senior level,"Williamsport, PA",36054.0,Hospitals and Health Care,UPMC
,,,"Madison, WI",27261.0,Higher Education,University of Wisconsin-Madison
113840.0,,,"Tampa, FL",188658.0,Investment Banking,Citi
200000.0,,Executive,New York City Metropolitan Area,2971.0,Advertising Services,Horizon Media
,,Entry level,"Fort Worth, TX",2274.0,Wholesale Building Materials,Watts Water Technologies
,,Entry level,"Houston, TX",1675.0,"Transportation, Logistics, Supply Chain and Storage",Bunzl Distribution NA
,,Entry level,"Hanover, MD",1675.0,"Transportation, Logistics, Supply Chain and Storage",Bunzl Distribution NA
,,Mid-Senior level,"Sylvania, OH",30677.0,Retail,RITE AID
,,Entry level,"Taylorsville, UT",38.0,Hospitals and Health Care,Comprehensive Treatment Centers
,,Entry level,"LaVale, MD",38.0,Hospitals and Health Care,Comprehensive Treatment Centers
125000.0,,Mid-Senior level,"Torrance, CA",602.0,Veterinary Services,PetVet Care Centers
120000.0,1.0,Mid-Senior level,United States,50.0,Software Development,Orderful
10000.0,1.0,Mid-Senior level,"Washington County, AR",192.0,Software Development,Bravado
75000.0,,Mid-Senior level,"Hopkinsville, KY",5141.0,Motor Vehicle Manufacturing,Metalsa
74400.0,,Mid-Senior level,"North Carolina, United States",6795.0,Food and Beverage Services,Anheuser-Busch
,,Entry level,"Bryn Mawr, PA",7713.0,Hospitals and Health Care,Main Line Health
,,,"Pittsburgh, PA",541.0,IT Services and IT Consulting,V2Soft
,,,"McLean, VA",16.0,IT Services and IT Consulting,Whiz Global LLC
22.0,1.0,,United States,,,
,1.0,,United States,532.0,IT Services and IT Consulting,Quantum World Technologies Inc.
65000.0,,Executive,"San Francisco, CA",112.0,Food and Beverage Services,"Botrista Technology, Inc."
,,,"St Louis, MO",109617.0,Defense and Space Manufacturing,Boeing
,,,"Tucson, AZ",127.0,IT Services and IT Consulting,RecruitInflux
,,Entry level,"Linthicum Heights, MD",169.0,Staffing and Recruiting,"Allyon, Inc."
110000.0,,Mid-Senior level,"Nashville, TN",33.0,Staffing and Recruiting,StaffSource
,1.0,,United States,5.0,IT Services and IT Consulting,Pyloops LLC
,,,"Costa Mesa, CA",6.0,Construction,Winkle Custom Homes
150000.0,1.0,Director,United States,103.0,"Technology, Information and Internet",Ashby
,1.0,,"Kansas City, MO",4638.0,Financial Services,Commerce Bank
27.3,,,"Boise, ID",26077.0,Semiconductor Manufacturing,Applied Materials
,,,"Scottsdale, AZ",9525.0,Oil and Gas,ERM
,,Entry level,"Arlington, Virginia, United States",931.0,IT Services and IT Consulting,Sev1Tech LLC
,,,"San Gabriel, CA",,,
,,Associate,"Brea, CA",24281.0,Manufacturing,"Stanley Black & Decker, Inc."
,,,"Alexandria, VA",2565.0,Research Services,ARA
,,,"San Francisco, CA",20661.0,Food and Beverage Services,US Foods
,,,"Lenexa, KS",20661.0,Food and Beverage Services,US Foods
,,Mid-Senior level,"Hartford, CT",110.0,Hospitals and Health Care,Skilled Wound Care
,,Mid-Senior level,"New Orleans, LA",4272.0,Banking,Hancock Whitney
70000.0,,Director,"Rancho Cucamonga, CA",7628.0,Hospitality,Aimbridge Hospitality
,,Associate,"New Britain, CT",24281.0,Manufacturing,"Stanley Black & Decker, Inc."
83025.0,,,"Minneapolis, MN",1875.0,Renewable Energy Semiconductor Manufacturing,McKinstry
13.0,,Entry level,"Selinsgrove, PA",13429.0,Retail Groceries,Hobby Lobby
,,Mid-Senior level,"Amityville, NY",832.0,Medical Practices,Tandym Group
,,Mid-Senior level,"Martinsburg, WV",832.0,Medical Practices,Tandym Group
,,Mid-Senior level,"Wakefield, MA",400.0,Software Development,Vestmark
,,,"Henderson, CO",36594.0,"Transportation, Logistics, Supply Chain and Storage",XPO
,,Mid-Senior level,Greater Houston,15175.0,Chemical Manufacturing,Air Products
,,Mid-Senior level,Miami-Fort Lauderdale Area,49.0,Construction,Provision People
,,Mid-Senior level,"Boston, MA",18270.0,Manufacturing,the LEGO Group
90000.0,,Associate,"Warren, NJ",49.0,Staffing and Recruiting,Provision People
,,Mid-Senior level,"Grapevine, TX",7628.0,Hospitality,Aimbridge Hospitality
,,Entry level,"Ohio, United States",113.0,Medical Equipment Manufacturing,Mainstay Medical
65.0,,Mid-Senior level,"Chadds Ford, PA",0.0,Software Development,EMW Staffing Solutions LLC
,1.0,Internship,United States,8.0,Entertainment Providers,Reel Talk
80000.0,1.0,Entry level,"San Jose, CA",46.0,Staffing and Recruiting,TEKtalent Inc
120000.0,1.0,Mid-Senior level,United States,682.0,Advertising Services,AMP Agency
,,Entry level,"Ovid, NY",5044.0,Staffing and Recruiting,Tradesmen International
40000.0,,Associate,"Kennesaw, GA",77.0,Spectator Sports,TOP Group - Japanese Recruiting Agency
,,Associate,"Houston, TX",771.0,IT Services and IT Consulting,Selby Jennings
,,Internship,"Ottawa, OH",30677.0,Retail,RITE AID
,,Entry level,"Bloomington, IN",2304.0,Veterinary Services,National Veterinary Associates
175000.0,,Mid-Senior level,"Tucson, AZ",602.0,Veterinary Services,PetVet Care Centers
,1.0,,United States,3.0,Software Development,Difference Engine
,,Mid-Senior level,"South Lake Tahoe, CA",30677.0,Retail,RITE AID
80000.0,1.0,Entry level,"Atlanta, GA",46.0,Staffing and Recruiting,TEKtalent Inc
,,,"Decatur, IL",26924.0,Food and Beverage Manufacturing,ADM
,,,"Quincy, IL",26924.0,Food and Beverage Manufacturing,ADM
,,,"La Porte, TX",1696.0,Utilities,EthosEnergy
17.37,,Entry level,"Omaha, NE",1361.0,Financial Services,Orion
,,,"Beaumont, TX",23192.0,Hospitals and Health Care,CHRISTUS Health
,,,"Jacksonville, TX",23192.0,Hospitals and Health Care,CHRISTUS Health
,,Mid-Senior level,"Asheville, NC",169.0,Staffing and Recruiting,"Allyon, Inc."
30.0,,Entry level,"Tucson, AZ",1177.0,Hospitals and Health Care,"NaphCare, Inc."
,,Entry level,"Maricopa County, AZ",1177.0,Hospitals and Health Care,"NaphCare, Inc."
,,,"Texas City, TX",283.0,IT Services and IT Consulting,SoftStandard Solutions
,,Internship,"Denison, TX",2304.0,Veterinary Services,National Veterinary Associates
,,Internship,"Sequim, WA",2304.0,Veterinary Services,National Veterinary Associates
,,Mid-Senior level,"Soldotna, AK",2304.0,Veterinary Services,National Veterinary Associates
,,Mid-Senior level,"Midwest, WY",2455.0,Computer and Network Security,Darktrace
,,Entry level,"Bellingham, WA",2304.0,Veterinary Services,National Veterinary Associates
,,Mid-Senior level,"Columbus, OH",4289.0,Hospitals and Health Care,Mount Carmel Health System
,,Entry level,Greater Richmond Region,1128.0,Medical Equipment Manufacturing,LifeNet Health
,,Mid-Senior level,"Little Rock, AR",1942.0,Aviation and Aerospace Component Manufacturing,Dassault Falcon Jet
,,Entry level,"Rochester, NY",5044.0,Staffing and Recruiting,Tradesmen International
72340.0,1.0,,"Chesterfield, MO",3584.0,Financial Services,"Reinsurance Group of America, Incorporated"
,,Entry level,"Lake in the Hills, IL",5044.0,Staffing and Recruiting,Tradesmen International
,1.0,Entry level,United States,618.0,Software Development,Salsify
71.16,,Entry level,"Madison, NJ",160.0,Staffing and Recruiting,Alpha Consulting Corp.
142000.0,,Mid-Senior level,"Niagara Falls, NY",3272.0,Chemical Manufacturing,Olin
14.25,,Mid-Senior level,"Denver, CO",2099.0,Real Estate,MAA
,,Entry level,"Malvern, PA",7713.0,Hospitals and Health Care,Main Line Health
44.23,,Mid-Senior level,"Fresno, CA",1274.0,Hospitals and Health Care,Saint Agnes Medical Center
,,,"Des Moines, IA",31.0,IT Services and IT Consulting,"SIRI Software Solutions, LLC"
,1.0,Director,United States,2802.0,Maritime Transportation,Dometic
,,Entry level,"Linthicum Heights, MD",169.0,Staffing and Recruiting,"Allyon, Inc."
36000.0,1.0,Mid-Senior level,"San Jose, CA",192.0,Software Development,Bravado
7.25,1.0,Entry level,"Austin, TX",346.0,Software Development,Catalyte
,,,"Seattle, WA",17465.0,Financial Services,"Ameriprise Financial Services, LLC"
50000.0,,Mid-Senior level,"Washington, DC",2836.0,Law Practice,Morrison Foerster
,,Entry level,"Riley, MI",911.0,Hospitals and Health Care,dentalcorp
30000.0,1.0,,"San Jose, CA",2.0,Retail Office Equipment,"RBRC, LLC"
,,,"Stony Point, NC",704.0,Consumer Goods,"Shurtape Technologies, LLC"
,,,"Grand Rapids, MI",184.0,Hospitals and Health Care,Advanced Radiology Services and Strategic Administrative & Reimbursement Services
,,Internship,"Cottleville, MO",2304.0,Veterinary Services,National Veterinary Associates
,,Entry level,"Moline, IL",8757.0,Hospitals and Health Care,UnityPoint Health
,,Associate,"New Castle, DE",192.0,Furniture and Home Furnishings Manufacturing,Mayzon
,,Internship,"Dakota Dunes, SD",2304.0,Veterinary Services,National Veterinary Associates
,,,"Reston, VA",93.0,IT Services and IT Consulting,PSRTEK
,,Entry level,"Harrisburg, PA",36054.0,Hospitals and Health Care,UPMC
100000.0,,,"New York, NY",11846.0,Advertising Services,Ogilvy
,,Associate,Omaha Metropolitan Area,15.0,Accounting,Hemphill - Search • Consulting • Staffing
,,Mid-Senior level,"Greenville, SC",2829.0,Restaurants,Buffalo Wild Wings
,,Entry level,"Virginia Beach, VA",1128.0,Medical Equipment Manufacturing,LifeNet Health
,,Entry level,"Richmond, VA",1128.0,Medical Equipment Manufacturing,LifeNet Health
,,Mid-Senior level,"Little Rock, AR",1942.0,Aviation and Aerospace Component Manufacturing,Dassault Falcon Jet
28.0,,Associate,"Redmond, WA",535.0,Medical Equipment Manufacturing,Comrise
37000.0,,,"Plano, TX",4076.0,Financial Services,PENNYMAC
,,,"Auburn Hills, MI",123.0,IT Services and IT Consulting,"Veridian Tech Solutions, Inc."
,,Entry level,"Crystal City, TX",691.0,Non-profit Organizations,"Chicanos Por La Causa, Inc. (CPLC)"
,,Mid-Senior level,"Coatesville, PA",38.0,Hospitals and Health Care,Comprehensive Treatment Centers
,,Entry level,"Alice, TX",691.0,Non-profit Organizations,"Chicanos Por La Causa, Inc. (CPLC)"
,,,"Oregon City, OR",1.0,Real Estate,"Arnaut Realty, LLC"
,,,"Decatur, IL",26924.0,Food and Beverage Manufacturing,ADM
,,Entry level,"Dubuque, IA",2130.0,Industrial Machinery Manufacturing,US Tech Solutions
,,,"Minneapolis, MN",38.0,Wireless Services,Premise Inc.
,,Entry level,"Canton, MI",3485.0,Manufacturing,Worthington Industries
,,Director,"Tucson, AZ",1177.0,Hospitals and Health Care,"NaphCare, Inc."
80000.0,1.0,Entry level,"San Antonio, TX",46.0,Staffing and Recruiting,TEKtalent Inc
150000.0,1.0,Mid-Senior level,"Phoenix, AZ",192.0,Software Development,Bravado
,1.0,,United States,688.0,IT Services and IT Consulting,"Tanisha Systems, Inc"
215000.0,,Associate,"New York, NY",12986.0,Legal Services,LHH
,,Entry level,"Linthicum Heights, MD",169.0,Staffing and Recruiting,"Allyon, Inc."
,,Entry level,"Roswell, GA",169.0,Staffing and Recruiting,"Allyon, Inc."
80000.0,1.0,Entry level,"San Antonio, TX",46.0,Staffing and Recruiting,TEKtalent Inc
40.0,,Mid-Senior level,"Las Vegas, NV",1177.0,Hospitals and Health Care,"NaphCare, Inc."
21.5,,Entry level,"Burlington, VT",4244.0,Hospitals and Health Care,The University of Vermont Medical Center
75000.0,1.0,Mid-Senior level,"Brooklyn, NY",192.0,Software Development,Bravado
,,Entry level,"Amarillo, TX",3189.0,Government Administration,Texas Workforce Commission
,,Mid-Senior level,"Philadelphia, PA",466.0,Telecommunications,NextGen | GTA: A Kelly Telecom Company
,,Entry level,"Hoover, AL",7628.0,Hospitality,Aimbridge Hospitality
64450.0,,Mid-Senior level,"Tacoma, WA",4420.0,Banking,Umpqua Bank
,,Entry level,"Nashville, TN",7628.0,Hospitality,Aimbridge Hospitality
,,Entry level,"St Louis Park, MN",7628.0,Hospitality,Aimbridge Hospitality
,,Mid-Senior level,"Grapevine, TX",7628.0,Hospitality,Aimbridge Hospitality
83000.0,,Mid-Senior level,Atlanta Metropolitan Area,32854.0,IT Services and IT Consulting,LTI - Larsen & Toubro Infotech
,1.0,Entry level,"Atlanta, GA",2053.0,Financial Services,Nuvei
,,Mid-Senior level,"Nashville, TN",386.0,"Transportation, Logistics, Supply Chain and Storage","LGSTX Services, Inc."
37.0,,Mid-Senior level,"Orange, CA",536.0,Staffing and Recruiting,INSPYR Solutions
,,Mid-Senior level,"Pittsburgh, PA",36054.0,Hospitals and Health Care,UPMC
,,,"Golden, CO",373.0,IT Services and IT Consulting,DevCare Solutions
57.0,,Mid-Senior level,"Mission Viejo, CA",2005.0,Hospitals and Health Care,Medix™
,1.0,,United States,392.0,IT Services and IT Consulting,Rang Technologies Inc
,,Entry level,"Pittsburgh, Pennsylvania, United States",2114.0,Utilities,Aqua
,,,"Chicago, IL",222.0,IT Services and IT Consulting,Thoughtwave Software and Solutions
18.0,,Entry level,"Westland, MI",5044.0,Staffing and Recruiting,Tradesmen International
,,Entry level,"Nampa, ID",171.0,Wholesale,"Heritage Landscape Supply Group, Inc."
100000.0,,Mid-Senior level,New York City Metropolitan Area,2971.0,Advertising Services,Horizon Media
150000.0,1.0,Director,United States,5728.0,E-Learning Providers,Houghton Mifflin Harcourt
,1.0,Director,United States,1611.0,Software Development,"AppFolio, Inc."
,,Entry level,"Mojave, CA",236.0,Aviation and Aerospace Component Manufacturing,Stratolaunch
,,Mid-Senior level,"District of Columbia, United States",7441.0,Education Administration Programs,International Baccalaureate
,,Entry level,"Pottstown, PA",1623.0,"Appliances, Electrical, and Electronics Manufacturing",Carlisle Interconnect Technologies
120000.0,,Mid-Senior level,"Gold Canyon, AZ",602.0,Veterinary Services,PetVet Care Centers
160000.0,,Director,"New York, United States",2968.0,Retail Luxury Goods and Jewelry,CELINE
125000.0,,Entry level,"Tucson, AZ",602.0,Veterinary Services,PetVet Care Centers
80000.0,,Mid-Senior level,"Indianapolis, IN",12986.0,Medical Equipment Manufacturing,LHH
50.0,1.0,Associate,"Washington, United States",595.0,Software Development,Russell Tobin
,1.0,Entry level,United States,6233.0,Software Development,Newfold Digital
137600.0,,Director,"Denver, CO",3467.0,Telecommunications,Zayo Group
,,,"Middletown, PA",287.0,IT Services and IT Consulting,Saxon AI
,,Mid-Senior level,"St Louis, MO",2152.0,Law Practice,Bryan Cave Leighton Paisner LLP
,,Mid-Senior level,"Willis, TX",31446.0,Oil and Gas,NOV
80000.0,1.0,Entry level,"San Antonio, TX",46.0,Staffing and Recruiting,TEKtalent Inc
36000.0,1.0,Mid-Senior level,"Phoenix, MD",192.0,Software Development,Bravado
44000.0,,,"Gallup, NM",8286.0,Education Administration Programs,ESS
,,Entry level,"Boynton Beach, FL",171.0,Wholesale,"Heritage Landscape Supply Group, Inc."
,,,"Lansing, MI",27.0,Software Development,Iconma LLC
,1.0,Mid-Senior level,United States,2678.0,IT Services and IT Consulting,Inmar Intelligence
38000.0,,,"San Diego, CA",200.0,Software Development,Whova
110000.0,,Director,"Miami, FL",41.0,Restaurants,ttg Talent Solutions
95000.0,1.0,Mid-Senior level,United States,82.0,Software Development,Inworld AI
,,Mid-Senior level,"Hillsboro, OR",798.0,Animation,LAIKA Studios
,,Mid-Senior level,"Salt Lake City, UT",16779.0,IT Services and IT Consulting,Global Payments Inc.
,,Entry level,"Salt Lake City, UT",16779.0,IT Services and IT Consulting,Global Payments Inc.
,,Internship,"Tempe, AZ",1675.0,"Transportation, Logistics, Supply Chain and Storage",Bunzl Distribution NA
,,,"Birmingham, AL",33.0,Construction,Father Nature Landscapes
,,Entry level,"Shafter, CA",30677.0,Retail,RITE AID
,,Mid-Senior level,"Cape Coral, FL",757.0,Government Administration,City of Cape Coral
,,Entry level,"Pottstown, PA",1623.0,"Appliances, Electrical, and Electronics Manufacturing",Carlisle Interconnect Technologies
,,Entry level,"Pottstown, PA",1623.0,"Appliances, Electrical, and Electronics Manufacturing",Carlisle Interconnect Technologies
53.33,,Mid-Senior level,"Camden, NJ",160.0,Staffing and Recruiting,Alpha Consulting Corp.
,,Entry level,"Seneca, SC",9553.0,Hospitals and Health Care,Prisma Health
,,Mid-Senior level,"Greenville, SC",9553.0,Hospitals and Health Care,Prisma Health
,,Mid-Senior level,"Seneca, SC",9553.0,Hospitals and Health Care,Prisma Health
,,Entry level,"Ocala, FL",13790.0,Industrial Machinery Manufacturing,Ingersoll Rand
85400.0,,Director,"Denver, CO",3467.0,Telecommunications,Zayo Group
,,Entry level,"Bridgeport, TX",1696.0,Utilities,EthosEnergy
26.0,1.0,,United States,0.0,,CRELOS GROUP LTD
10000.0,1.0,Mid-Senior level,United States,192.0,Software Development,Bravado
,,,"San Jose, CA",291.0,IT Services and IT Consulting,Precision Technologies
60000.0,,,"Springdale, AR",17.0,Medical Practices,Rise Physical Therapy NWA
22.0,,,"Seattle, WA",108.0,Retail Apparel and Fashion,SMG Model Management
,1.0,,United States,3.0,Medical Equipment Manufacturing,Rehabwheel
158000.0,1.0,Director,United States,80.0,"Technology, Information and Internet",4 Corner Resources
7.25,1.0,Entry level,"Charlotte, NC",346.0,Software Development,Catalyte
50000.0,,Mid-Senior level,"Boston, MA",2836.0,Law Practice,Morrison Foerster
60.0,1.0,,United States,119.0,Staffing and Recruiting,AllSTEM Connections
,,,"Miami, FL",263.0,IT Services and IT Consulting,CONFLUX SYSTEMS
50000.0,,Mid-Senior level,"San Diego, CA",2836.0,Law Practice,Morrison Foerster
,,Entry level,"Alsip, IL",368.0,Medical Equipment Manufacturing,GC America
60000.0,1.0,,United States,47.0,Writing and Editing,West Wing Writers
30.0,,Entry level,"Waterloo, IA",609.0,Staffing and Recruiting,Acro Service Corp
,,Mid-Senior level,Greater Houston,2641.0,Staffing and Recruiting,NES Fircroft
,,,"Austin, Texas Metropolitan Area",196.0,Retail,Defyned Brands
,,Entry level,"Foxborough, MA",2207.0,Spectator Sports,The Kraft Group & Affiliates
,,Associate,"Sunnyvale, CA",234555.0,IT Services and IT Consulting,Wipro
10000.0,1.0,Mid-Senior level,"Rochester, New York Metropolitan Area",192.0,Software Development,Bravado
150000.0,,Entry level,"New York, NY",3695.0,Financial Services,"Apollo Global Management, Inc."
60216.0,,Mid-Senior level,"Omaha, NE",1265.0,Government Administration,City of Omaha
,,,"San Antonio, Texas Metropolitan Area",17.0,Advertising Services,Tribu | Marketing + Advertising + Graphic Design
,,,"Painted Post, NY",181.0,IT Services and IT Consulting,SoftSages Technology
65.0,1.0,,United States,47.0,Staffing and Recruiting,Slesha Inc
70000.0,,Associate,"Dallas, TX",13.0,Investment Management,Spot On Talent
,1.0,,United States,12.0,IT Services and IT Consulting,NirApad9 
48000.0,,Mid-Senior level,"Miami, FL",2836.0,Law Practice,Morrison Foerster
36000.0,1.0,Mid-Senior level,"King County, WA",192.0,Software Development,Bravado
,,Entry level,"New Kensington, PA",15171.0,Mining,Alcoa
35.0,,Associate,"New York, NY",719.0,Hospitality,The Ned
34.0,,Mid-Senior level,"Palo Alto, CA",40.0,Medical Equipment Manufacturing,Safeguard Global Recruiting
100000.0,1.0,Director,Greater Chicago Area,59.0,Advertising Services,THE CHARLES GROUP
36000.0,1.0,Mid-Senior level,"Nassau County, NY",192.0,Software Development,Bravado
20.0,,Entry level,"Dubuque, IA",609.0,Industrial Machinery Manufacturing,Acro Service Corp
,,Associate,"Des Moines, IA",82.0,Wholesale,Schimberg Co
,1.0,,"Manhattan, NY",0.0,Software Development,SEO Mana
,,Entry level,"Bozeman, MT",9526.0,Medical Equipment Manufacturing,W. L. Gore & Associates
,,Mid-Senior level,"Dallas, TX",1228.0,IT Services and IT Consulting,Thrive
36000.0,1.0,Mid-Senior level,United States,192.0,Software Development,Bravado
,1.0,,"New York, United States",452.0,Computer Games,WebMobril Inc.
250000.0,1.0,Director,United States,172.0,Semiconductor Manufacturing,Lawrence Harvey
,,,"Cincinnati, OH",12750.0,Chemical Manufacturing,Givaudan
75000.0,1.0,Mid-Senior level,"Boston, MA",192.0,Software Development,Bravado
,,Executive,"Clifton, NJ",119.0,Construction,BOND Civil & Utility Construction
,,Mid-Senior level,"Lansing, MI",12653.0,Retail Apparel and Fashion,Gap
,,Entry level,"Austin Township, MN",15210.0,Retail,"Hy-Vee, Inc."
,,Entry level,"Lincoln, NE",15210.0,Retail,"Hy-Vee, Inc."
,,Associate,"Carlsbad, CA",485.0,Sporting Goods Manufacturing,Aqualung Group
,1.0,,United States,532.0,IT Services and IT Consulting,Quantum World Technologies Inc.
75000.0,,,"San Luis Obispo, CA",42.0,Hospitals and Health Care,Conversio Health
,,Mid-Senior level,"All Seasons Lake Park, OH",186.0,Machinery Manufacturing,"Rotex Global, LLC"
80000.0,,Mid-Senior level,"Pittsburgh, PA",12986.0,Legal Services,LHH
75000.0,,Mid-Senior level,"Omaha, NE",21617.0,Financial Services,Akkodis
,,Entry level,"Palm Harbor, FL",2904.0,Hospitals and Health Care,Five Star Senior Living
,,Entry level,"Plantation, FL",2904.0,Hospitals and Health Care,Five Star Senior Living
,,,"Palo Alto, CA",405.0,Business Consulting and Services,Vertisystem
23.0,,Entry level,"Acton, MA",2821.0,Medical Equipment Manufacturing,Insulet Corporation
,,Mid-Senior level,"Buford, GA",1766.0,Veterinary Services,Thrive Pet Healthcare
,,Entry level,Salt Lake City Metropolitan Area,2662.0,Aviation & Aerospace,Hexcel Corporation
,,Entry level,"New Braunfels, TX",555.0,Education Management,The Children's Courtyard
65478.4,,Associate,"Tacoma, WA",406.0,Wellness and Fitness Services,YMCA of Pierce and Kitsap Counties
,,Director,"New York, NY",2268.0,Advertising Services,Jellyfish
,,Mid-Senior level,"Mount Olive, NC",2951.0,Food and Beverage Manufacturing,"Butterball, LLC"
,,,"Kennesaw, GA",26924.0,Food and Beverage Manufacturing,ADM
,1.0,,United States,464.0,Software Development,Tekshapers
,,Mid-Senior level,"Dearborn, MI",86.0,IT Services and IT Consulting,FastTek Global
,,Entry level,"Malvern, PA",7713.0,Hospitals and Health Care,Main Line Health
10000.0,1.0,Mid-Senior level,"Phoenix, OR",192.0,Software Development,Bravado
,,Mid-Senior level,Dallas-Fort Worth Metroplex,12986.0,Industrial Machinery Manufacturing,LHH
,1.0,,United States,688.0,IT Services and IT Consulting,"Tanisha Systems, Inc"
7.25,1.0,Entry level,"Dallas, TX",346.0,Software Development,Catalyte
,,Associate,"New York, NY",12986.0,Legal Services,LHH
,,Mid-Senior level,"Washington, DC",1332.0,Government Administration,Architect of the Capitol
,,Mid-Senior level,"Columbus, Ohio Metropolitan Area",12653.0,Retail Apparel and Fashion,Gap
96400.0,,,"Irving, TX",188658.0,Investment Banking,Citi
117200.0,,,"New York, NY",188658.0,Investment Banking,Citi
,,,"Fort Worth, TX",249.0,IT Services and IT Consulting,Hirexa Solutions
,,,"New York, NY",15177.0,Retail,Levi Strauss & Co.
47.0,,Associate,"Ayer, MA",140.0,Pharmaceutical Manufacturing,"TSR Consulting Services, Inc."
55000.0,,Mid-Senior level,"Palo Alto, CA",2836.0,Law Practice,Morrison Foerster
,1.0,,Los Angeles Metropolitan Area,102.0,Hospitals and Health Care,MJM 
185000.0,1.0,,"Irvine, CA",95.0,Real Estate,American Healthcare REIT
,,,"Port Washington, NY",28.0,Printing Services,Dot Works
,1.0,,United States,15.0,Food and Beverage Manufacturing,Normine Lombard
,,Entry level,"Lafayette, IN",2904.0,Hospitals and Health Care,Five Star Senior Living
60000.0,1.0,Mid-Senior level,"Brooklyn, NY",192.0,Software Development,Bravado
,,Entry level,"Boerne, TX",2904.0,Hospitals and Health Care,Five Star Senior Living
,,Entry level,"Easton, MD",2904.0,Hospitals and Health Care,Five Star Senior Living
80000.0,,,"Costa Mesa, CA",90.0,Public Relations and Communications Services,The Brand Amp
,,,"Dallas, TX",2.0,Professional Training and Coaching,Veteran Women's Enterprise Center (VWEC)
,,Entry level,"Concord, NC",2904.0,Hospitals and Health Care,Five Star Senior Living
,,Mid-Senior level,"Irving, TX",123.0,Staffing and Recruiting,XL Pro Staffing and Consulting Group
,,Entry level,"Chantilly, VA",7826.0,Education Administration Programs,Learning Care Group
,,Entry level,"Gainesville, VA",7826.0,Education Administration Programs,Learning Care Group
70000.0,1.0,Mid-Senior level,United States,939.0,Software Development,Insurity
,,Mid-Senior level,"Mount Olive, NC",2951.0,Food and Beverage Manufacturing,"Butterball, LLC"
,,Mid-Senior level,"Mount Olive, NC",2951.0,Food and Beverage Manufacturing,"Butterball, LLC"
,,Entry level,"Charleston, South Carolina Metropolitan Area",2841.0,Hospitals and Health Care,MUSC Health
,,Entry level,"Yuma, AZ",1155.0,Hospitals and Health Care,SimonMed Imaging
,,Mid-Senior level,"Grand Prairie, TX",123.0,Staffing and Recruiting,XL Pro Staffing and Consulting Group
,1.0,,United States,189.0,IT Services and IT Consulting,"Metasys Technologies, Inc."
130000.0,1.0,,United States,134.0,Hospitals and Health Care,Thyme Care
,,Associate,Omaha Metropolitan Area,3915.0,Banking,FNBO
,1.0,,United States,185.0,IT Services and IT Consulting,Raas Infotek
68000.0,,Entry level,"Portland, OR",509.0,Civil Engineering,BKF Engineers
,,Mid-Senior level,"Irving, TX",123.0,Staffing and Recruiting,XL Pro Staffing and Consulting Group
,,Mid-Senior level,"Florence, SC",2841.0,Hospitals and Health Care,MUSC Health
,,Mid-Senior level,"Arlington, TX",123.0,Staffing and Recruiting,XL Pro Staffing and Consulting Group
,,Mid-Senior level,"Eau Claire, WI",69.0,"Appliances, Electrical, and Electronics Manufacturing",Brightpath Associates LLC
,,Mid-Senior level,"Mansfield, TX",123.0,Food and Beverage Manufacturing,XL Pro Staffing and Consulting Group
,1.0,Mid-Senior level,"Morristown, NJ",2422.0,Insurance,Crum & Forster
,,,"Albany, NY",1183.0,IT Services and IT Consulting,Trigyn Technologies
63.59,,Mid-Senior level,"Burlington, VT",4244.0,Hospitals and Health Care,The University of Vermont Medical Center
,,Entry level,"West Chester, OH",1593.0,Hospitals and Health Care,Springstone
,,Entry level,"West Chester, OH",1593.0,Hospitals and Health Care,Springstone
,,Entry level,"Newburgh, IN",1593.0,Hospitals and Health Care,Springstone
,,Mid-Senior level,"West Chester, OH",1593.0,Hospitals and Health Care,Springstone
,1.0,Mid-Senior level,"Bozeman, MT",9526.0,Medical Equipment Manufacturing,W. L. Gore & Associates
,,,"Evanston, IL",12.0,Manufacturing,GoodSport Nutrition
,,Mid-Senior level,"Jersey City, NJ",119.0,Staffing and Recruiting,AllSTEM Connections
,,,"Minneapolis, MN",15216.0,IT Services and IT Consulting,Eviden
50000.0,,Mid-Senior level,"Los Angeles, CA",2836.0,Law Practice,Morrison Foerster
55000.0,,Mid-Senior level,"New York, United States",2836.0,Law Practice,Morrison Foerster
122000.0,,Mid-Senior level,"Las Vegas, NV",32854.0,IT Services and IT Consulting,LTI - Larsen & Toubro Infotech
75000.0,1.0,Mid-Senior level,United States,192.0,Software Development,Bravado
240000.0,,Director,"San Bernardino, CA",6587.0,Medical Practices,Concentra
,,Mid-Senior level,"Boston Heights, OH",1378.0,Furniture and Home Furnishings Manufacturing,Arhaus
,,Mid-Senior level,"Irving, TX",123.0,Staffing and Recruiting,XL Pro Staffing and Consulting Group
,,,"Austin, Texas Metropolitan Area",181.0,IT Services and IT Consulting,Bravens Inc.
,,,"Raleigh, NC",976.0,IT Services and IT Consulting,TestingXperts
,1.0,,United States,185.0,IT Services and IT Consulting,Raas Infotek
,,Mid-Senior level,"Dallas County, TX",36570.0,Retail,H-E-B
23.0,,Entry level,"Acton, MA",2821.0,Medical Equipment Manufacturing,Insulet Corporation
